id,zipcode,name,city_id
colony_aguascalientes_bonafortuna,20126,Bonafortuna,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_la_soledad,20126,La Soledad,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_los_naranjos,20126,Los Naranjos,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_de_nuestra_señora_de_la_asunción_sector_guadalupe,20126,Villa de Nuestra Señora de La Asunción Sector Guadalupe,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_teresa,20126,Villa Teresa,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_cartagena_1947,20126,Cartagena 1947,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villas_de_la_convención,20126,Villas de La Convención,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_lomas_de_la_asunción,20126,Lomas de La Asunción,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_de_nuestra_señora_de_la_asunción_sector_encino,20126,Villa de Nuestra Señora de La Asunción Sector Encino,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_de_nuestra_señora_de_la_asunción_sector_alameda,20126,Villa de Nuestra Señora de La Asunción Sector Alameda,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_san_josé_de_pozo_bravo,20126,San José de Pozo Bravo,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_de_nuestra_señora_de_la_asunción_sector_san_marcos,20126,Villa de Nuestra Señora de La Asunción Sector San Marcos,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_de_nuestra_señora_de_la_asunción_sector_estación,20126,Villa de Nuestra Señora de La Asunción Sector Estación,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_las_plazas,20126,Las Plazas,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_el_rosedal,20126,El Rosedal,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_natura,20126,Natura,solt_l10n_mx_partner_address.res_city_mx_agu_001
